10:53:18.096 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
10:53:20.141 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
10:53:24.419 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
10:53:25.260 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
10:53:25.299 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
11:14:39.698 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(e4552c85-325b-4d45-923b-234cda44a7e2,Alice) (context: {participantId=sandbox-participant}) 
11:14:54.226 [sandbox-akka.actor.default-dispatcher-9] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
11:14:54.226 [sandbox-akka.actor.default-dispatcher-9] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 1 trackers (context: {participantId=sandbox-participant}) 
11:14:54.266 [sandbox-akka.actor.default-dispatcher-9] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=10:14:54.264UTC
11:19:27.692 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
11:19:28.367 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
11:19:30.468 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
11:19:31.226 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
11:19:31.242 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
11:21:30.089 [sandbox-akka.actor.default-dispatcher-12] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,party-e7dec121) (context: {participantId=sandbox-participant}) 
11:21:31.880 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,party-3c0f295f) (context: {participantId=sandbox-participant}) 
11:27:47.494 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
11:27:47.495 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 2 trackers (context: {participantId=sandbox-participant}) 
11:27:47.532 [sandbox-akka.actor.default-dispatcher-7] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-5, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=10:27:47.531UTC
11:27:53.308 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
11:27:53.970 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
11:27:55.709 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
11:27:56.086 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
11:27:56.097 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
11:34:51.621 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Alice) (context: {participantId=sandbox-participant}) 
11:34:53.722 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Bob) (context: {participantId=sandbox-participant}) 
13:43:38.405 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
13:43:38.406 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 2 trackers (context: {participantId=sandbox-participant}) 
13:43:38.452 [sandbox-akka.actor.default-dispatcher-8] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-5, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=12:43:38.450UTC
13:43:51.910 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
13:43:52.667 [sandbox-akka.actor.default-dispatcher-6] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
13:43:54.569 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
13:43:55.051 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
13:43:55.068 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
13:44:55.532 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Alice) (context: {participantId=sandbox-participant}) 
13:44:58.898 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Bob) (context: {participantId=sandbox-participant}) 
13:48:09.638 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
